Framework,Sink_File,Count
Symfony,src/Symfony/Component/Routing/Tests/Generator/Dumper/CompiledUrlGeneratorDumperTest.php,492
WordPress,wp-includes/link-template.php,294
WordPress,wp-admin/includes/class-wp-automatic-updater.php,168
Symfony,src/Symfony/Component/HttpFoundation/Tests/RedirectResponseTest.php,132
WordPress,wp-admin/plugins.php,120
WordPress,wp-includes/pluggable.php,108
WordPress,wp-includes/canonical.php,102
WordPress,wp-includes/general-template.php,84
WordPress,wp-includes/ms-functions.php,84
WordPress,wp-admin/users.php,78
WordPress,wp-includes/class-wp-customize-manager.php,72
WordPress,wp-login.php,64
WordPress,wp-admin/includes/ms.php,48
WordPress,wp-includes/rewrite.php,48
WordPress,wp-admin/themes.php,48
WordPress,wp-admin/user-new.php,48
WordPress,wp-includes/https-migration.php,42
WordPress,wp-includes/admin-bar.php,42
WordPress,wp-includes/https-detection.php,42
WordPress,wp-includes/user.php,42
WordPress,wp-includes/ms-deprecated.php,42
WordPress,wp-admin/link.php,42
WordPress,wp-admin/post.php,42
Symfony,src/Symfony/Bundle/FrameworkBundle/Tests/Functional/Bundle/TestBundle/Controller/SubRequestController.php,36
Symfony,src/Symfony/Bundle/WebProfilerBundle/Controller/ProfilerController.php,36
WordPress,wp-admin/includes/export.php,36
WordPress,wp-admin/includes/upgrade.php,36
WordPress,wp-includes/update.php,36
WordPress,wp-admin/update-core.php,36
Yii2,framework/helpers/BaseHtml.php,34
WordPress,wp-signup.php,32
WordPress,wp-admin/comment.php,30
WordPress,wp-admin/edit.php,30
WordPress,wp-activate.php,28
Symfony,src/Symfony/Bundle/FrameworkBundle/Controller/RedirectController.php,24
Symfony,src/Symfony/Bundle/FrameworkBundle/Tests/DataCollector/RouterDataCollectorTest.php,24
Symfony,src/Symfony/Component/Security/Http/Authenticator/AbstractLoginFormAuthenticator.php,24
Symfony,src/Symfony/Component/HttpKernel/Tests/DataCollector/RouterDataCollectorTest.php,24
WordPress,wp-admin/includes/dashboard.php,24
WordPress,wp-admin/includes/misc.php,24
WordPress,wp-admin/includes/class-wp-site-health.php,24
WordPress,wp-admin/includes/theme.php,24
WordPress,wp-admin/includes/noop.php,24
WordPress,wp-admin/includes/user.php,24
WordPress,wp-admin/includes/file.php,24
WordPress,wp-includes/rest-api.php,24
WordPress,wp-includes/theme.php,24
WordPress,wp-includes/embed.php,24
WordPress,wp-includes/class-wp-rewrite.php,24
WordPress,wp-includes/functions.php,24
