Flow_ID,Source_File,Sink_Function,Sink_Line,Scenario
flow_001,src/Illuminate/Http/Middleware/HandleCors.php,handle,45,Unknown impact
flow_002,src/Illuminate/Http/Middleware/HandleCors.php,if,47,Unknown impact
flow_003,src/Illuminate/Http/Middleware/HandleCors.php,next,48,Unknown impact
flow_004,src/Illuminate/Http/Middleware/HandleCors.php,get,51,Unknown impact
flow_005,src/Illuminate/Http/Middleware/HandleCors.php,get,51,Unknown impact
flow_006,src/Illuminate/Http/Middleware/HandleCors.php,if,53,Unknown impact
flow_007,src/Illuminate/Http/Middleware/HandleCors.php,handlePreflightRequest,54,Unknown impact
flow_008,src/Illuminate/Http/Middleware/HandleCors.php,handlePreflightRequest,54,Unknown impact
flow_009,src/Illuminate/Http/Middleware/HandleCors.php,varyHeader,56,Unknown impact
flow_010,src/Illuminate/Http/Middleware/HandleCors.php,varyHeader,56,Unknown impact
flow_011,src/Illuminate/Http/Middleware/HandleCors.php,next,61,Unknown impact
flow_012,src/Illuminate/Http/Middleware/HandleCors.php,if,63,Unknown impact
flow_013,src/Illuminate/Http/Middleware/HandleCors.php,varyHeader,64,Unknown impact
flow_014,src/Illuminate/Http/Middleware/HandleCors.php,varyHeader,64,Unknown impact
flow_015,src/Illuminate/Http/Middleware/HandleCors.php,addActualRequestHeaders,67,Unknown impact
flow_016,src/Illuminate/Http/Middleware/HandleCors.php,addActualRequestHeaders,67,Unknown impact
flow_017,src/Illuminate/Http/Middleware/HandleCors.php,foreach,80,Unknown impact
flow_018,src/Illuminate/Http/Middleware/HandleCors.php,if,81,Unknown impact
flow_019,src/Illuminate/Http/Middleware/HandleCors.php,trim,82,Unknown impact
flow_020,src/Illuminate/Http/Middleware/HandleCors.php,if,85,Unknown impact
flow_021,src/Illuminate/Http/Middleware/HandleCors.php,fullUrlIs,85,Unknown impact
flow_022,src/Illuminate/Http/Middleware/HandleCors.php,is,85,Unknown impact
flow_023,src/Illuminate/Http/Middleware/HandleCors.php,fullUrlIs,85,Unknown impact
flow_024,src/Illuminate/Http/Middleware/HandleCors.php,is,85,Unknown impact
flow_025,src/Illuminate/Http/Middleware/HandleCors.php,get,101,Unknown impact
flow_026,src/Illuminate/Http/Middleware/HandleCors.php,get,101,Unknown impact
flow_027,src/Illuminate/Http/Middleware/HandleCors.php,if,103,Unknown impact
flow_028,src/Illuminate/Http/Middleware/HandleCors.php,array_filter,107,Unknown impact
flow_029,src/Illuminate/Http/Middleware/HandleCors.php,function,107,Unknown impact
flow_030,src/Illuminate/Http/Middleware/HandleCors.php,is_string,108,Unknown impact
flow_031,src/Illuminate/Routing/RouteParameterBinder.php,parameters,32,Unknown impact
flow_032,src/Illuminate/Routing/RouteParameterBinder.php,bindPathParameters,34,Unknown impact
flow_033,src/Illuminate/Routing/RouteParameterBinder.php,bindPathParameters,34,Unknown impact
flow_034,src/Illuminate/Routing/RouteParameterBinder.php,if,39,Unknown impact
flow_035,src/Illuminate/Routing/RouteParameterBinder.php,is_null,39,Unknown impact
flow_036,src/Illuminate/Routing/RouteParameterBinder.php,bindHostParameters,40,Unknown impact
flow_037,src/Illuminate/Routing/RouteParameterBinder.php,bindHostParameters,40,Unknown impact
flow_038,src/Illuminate/Routing/RouteParameterBinder.php,replaceDefaults,45,Unknown impact
flow_039,src/Illuminate/Routing/RouteParameterBinder.php,replaceDefaults,45,Unknown impact
flow_040,src/Illuminate/Routing/RouteParameterBinder.php,bindPathParameters,54,Unknown impact
flow_041,src/Illuminate/Routing/RouteParameterBinder.php,ltrim,56,Unknown impact
flow_042,src/Illuminate/Routing/RouteParameterBinder.php,decodedPath,56,Unknown impact
flow_043,src/Illuminate/Routing/RouteParameterBinder.php,decodedPath,56,Unknown impact
flow_044,src/Illuminate/Routing/RouteParameterBinder.php,preg_match,58,Unknown impact
flow_045,src/Illuminate/Routing/RouteParameterBinder.php,matchToKeys,60,Unknown impact
flow_046,src/Illuminate/Routing/RouteParameterBinder.php,array_slice,60,Unknown impact
flow_047,src/Illuminate/Routing/RouteParameterBinder.php,matchToKeys,60,Unknown impact
flow_048,src/Illuminate/Routing/RouteParameterBinder.php,bindHostParameters,70,Unknown impact
flow_049,src/Illuminate/Routing/RouteParameterBinder.php,preg_match,72,Unknown impact
flow_050,src/Illuminate/Routing/RouteParameterBinder.php,array_merge,74,Unknown impact
